column_ref,code,description,notes
"reported_adjudications.status","ACCEPTED","",""
"reported_adjudications.status","REJECTED","",""
"reported_adjudications.status","AWAITING_REVIEW","",""
"reported_adjudications.status","RETURNED","",""
"reported_adjudications.status","UNSCHEDULED","",""
"reported_adjudications.status","SCHEDULED","",""
"reported_adjudications.status","REFER_POLICE","",""
"reported_adjudications.status","REFER_INAD","",""
"reported_adjudications.status","REFER_GOV","",""
"reported_adjudications.status","PROSECUTION","",""
"reported_adjudications.status","DISMISSED","",""
"reported_adjudications.status","NOT_PROCEED","",""
"reported_adjudications.status","ADJOURNED","",""
"reported_adjudications.status","CHARGE_PROVED","",""
"reported_adjudications.status","QUASHED","",""
"reported_adjudications.status","INVALID_OUTCOME","",""
"reported_adjudications.status","INVALID_SUSPENDED","",""
"reported_adjudications.status","INVALID_ADA","",""
"reported_adjudications.gender","MALE","",""
"reported_adjudications.gender","FEMALE","",""
"reported_adjudications.incident_role_code","25a","Attempts to commit any of the foregoing offences",""
"reported_adjudications.incident_role_code","25b","Incites another prisoner to commit any of the foregoing offences",""
"reported_adjudications.incident_role_code","25c","Assists another prisoner to commit, or to attempt to commit, any of the foregoing offences",""
"outcome.code","REFER_POLICE","",""
"outcome.code","REFER_INAD","",""
"outcome.code","REFER_GOV","",""
"outcome.code","NOT_PROCEED","",""
"outcome.code","DISMISSED","",""
"outcome.code","PROSECUTION","",""
"outcome.code","SCHEDULE_HEARING","",""
"outcome.code","CHARGE_PROVED","",""
"outcome.code","QUASHED","",""
"outcome.not_proceed_reason","ANOTHER_WAY","",""
"outcome.not_proceed_reason","RELEASED","",""
"outcome.not_proceed_reason","WITNESS_NOT_ATTEND","",""
"outcome.not_proceed_reason","UNFIT","",""
"outcome.not_proceed_reason","FLAWED","",""
"outcome.not_proceed_reason","EXPIRED_NOTICE","",""
"outcome.not_proceed_reason","EXPIRED_HEARING","",""
"outcome.not_proceed_reason","NOT_FAIR","",""
"outcome.not_proceed_reason","OTHER","",""
"outcome.quashed_reason","FLAWED_CASE","",""
"outcome.quashed_reason","JUDICIAL_REVIEW","",""
"outcome.quashed_reason","APPEAL_UPHELD","",""
"outcome.quashed_reason","OTHER","",""
"outcome.refer_gov_reason","REVIEW_FOR_REFER_POLICE","",""
"outcome.refer_gov_reason","GOV_INQUIRY","",""
"outcome.refer_gov_reason","OTHER","",""
"hearing.oic_hearing_type","GOV_ADULT","",""
"hearing.oic_hearing_type","GOV_YOI","",""
"hearing.oic_hearing_type","INAD_YOI","",""
"hearing.oic_hearing_type","GOV","",""
"hearing.oic_hearing_type","INAD_ADULT","",""
"hearing_outcome.code","COMPLETE","",""
"hearing_outcome.code","REFER_POLICE","",""
"hearing_outcome.code","REFER_INAD","",""
"hearing_outcome.code","ADJOURN","",""
"hearing_outcome.code","NOMIS","",""
"hearing_outcome.code","REFER_GOV","",""
"hearing_outcome.adjourn_reason","LEGAL_ADVICE","",""
"hearing_outcome.adjourn_reason","LEGAL_REPRESENTATION","",""
"hearing_outcome.adjourn_reason","RO_ATTEND","",""
"hearing_outcome.adjourn_reason","HELP","",""
"hearing_outcome.adjourn_reason","UNFIT","",""
"hearing_outcome.adjourn_reason","WITNESS","",""
"hearing_outcome.adjourn_reason","WITNESS_SUPPORT","",""
"hearing_outcome.adjourn_reason","MCKENZIE","",""
"hearing_outcome.adjourn_reason","EVIDENCE","",""
"hearing_outcome.adjourn_reason","INVESTIGATION","",""
"hearing_outcome.adjourn_reason","OTHER","",""
"hearing_outcome.plea","UNFIT","",""
"hearing_outcome.plea","ABSTAIN","",""
"hearing_outcome.plea","GUILTY","",""
"hearing_outcome.plea","NOT_GUILTY","",""
"hearing_outcome.plea","NOT_ASKED","",""
"punishment.type","PRIVILEGE","",""
"punishment.type","EARNINGS","",""
"punishment.type","CONFINEMENT","",""
"punishment.type","REMOVAL_ACTIVITY","",""
"punishment.type","EXCLUSION_WORK","",""
"punishment.type","EXTRA_WORK","",""
"punishment.type","REMOVAL_WING","",""
"punishment.type","ADDITIONAL_DAYS","",""
"punishment.type","PROSPECTIVE_DAYS","",""
"punishment.type","CAUTION","",""
"punishment.type","DAMAGES_OWED","",""
"punishment.type","PAYBACK","",""
"punishment.privilege_type","CANTEEN","",""
"punishment.privilege_type","FACILITIES","",""
"punishment.privilege_type","MONEY","",""
"punishment.privilege_type","TV","",""
"punishment.privilege_type","ASSOCIATION","",""
"punishment.privilege_type","GYM","",""
"punishment.privilege_type","OTHER","",""
"punishment.rehab_not_completed_outcome","FULL_ACTIVATE","",""
"punishment.rehab_not_completed_outcome","PARTIAL_ACTIVATE","",""
"punishment.rehab_not_completed_outcome","EXT_SUSPEND","",""
"punishment.rehab_not_completed_outcome","NO_ACTION","",""
"punishment_schedule.measurement","DAYS","",""
"punishment_schedule.measurement","HOURS","",""
"punishment_comments.reason_for_change","APPEAL","",""
"punishment_comments.reason_for_change","CORRECTION","",""
"punishment_comments.reason_for_change","OTHER","",""
"punishment_comments.reason_for_change","GOV_OR_DIRECTOR","",""
"damages.code / reported_damages.code","ELECTRICAL_REPAIR","",""
"damages.code / reported_damages.code","PLUMBING_REPAIR","",""
"damages.code / reported_damages.code","FURNITURE_OR_FABRIC_REPAIR","",""
"damages.code / reported_damages.code","LOCK_REPAIR","",""
"damages.code / reported_damages.code","REDECORATION","",""
"damages.code / reported_damages.code","CLEANING","",""
"damages.code / reported_damages.code","REPLACE_AN_ITEM","",""
"evidence.code / reported_evidence.code","PHOTO","",""
"evidence.code / reported_evidence.code","BODY_WORN_CAMERA","",""
"evidence.code / reported_evidence.code","CCTV","",""
"evidence.code / reported_evidence.code","BAGGED_AND_TAGGED","",""
"evidence.code / reported_evidence.code","OTHER","",""
"witness.code / reported_witness.code","OFFICER","",""
"witness.code / reported_witness.code","STAFF","",""
"witness.code / reported_witness.code","OTHER_PERSON","",""
"witness.code / reported_witness.code","VICTIM","",""
"witness.code / reported_witness.code","PRISONER","",""
"protected_characteristics.characteristic / draft_protected_characteristics.characteristic","AGE","",""
"protected_characteristics.characteristic / draft_protected_characteristics.characteristic","DISABILITY","",""
"protected_characteristics.characteristic / draft_protected_characteristics.characteristic","GENDER_REASSIGN","",""
"protected_characteristics.characteristic / draft_protected_characteristics.characteristic","MARRIAGE_AND_CP","",""
"protected_characteristics.characteristic / draft_protected_characteristics.characteristic","PREGNANCY_AND_MAT","",""
"protected_characteristics.characteristic / draft_protected_characteristics.characteristic","RACE","",""
"protected_characteristics.characteristic / draft_protected_characteristics.characteristic","RELIGION","",""
"protected_characteristics.characteristic / draft_protected_characteristics.characteristic","SEX","",""
"protected_characteristics.characteristic / draft_protected_characteristics.characteristic","SEX_ORIENTATION","",""
"offence.offence_code / reported_offence.offence_code","1001","Commits any racially aggravated assault","name=ADULT_51_1A; nomisCode=51:1A; paragraph=1(a); withOthersNomisCode=51:1A; applicableVersions=1"
"offence.offence_code / reported_offence.offence_code","1003","Commits any racially aggravated assault","name=ADULT_51_1A; nomisCode=51:1A; paragraph=1(a); withOthersNomisCode=51:1A; applicableVersions=1"
"offence.offence_code / reported_offence.offence_code","1005","Commits any racially aggravated assault","name=ADULT_51_1A; nomisCode=51:1A; paragraph=1(a); withOthersNomisCode=51:1A; applicableVersions=1"
"offence.offence_code / reported_offence.offence_code","1021","Commits any racially aggravated assault","name=ADULT_51_1A; nomisCode=51:1A; paragraph=1(a); withOthersNomisCode=51:1A; applicableVersions=1"
"offence.offence_code / reported_offence.offence_code","1007","Commits any racially aggravated assault","name=ADULT_51_1A; nomisCode=51:1A; paragraph=1(a); withOthersNomisCode=51:1A; applicableVersions=1"
"offence.offence_code / reported_offence.offence_code","100124","Commits any assault aggravated by a protected characteristic","name=ADULT_51_1A_24; nomisCode=51:1A (24); paragraph=1(a); withOthersNomisCode=51:1A (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","100324","Commits any assault aggravated by a protected characteristic","name=ADULT_51_1A_24; nomisCode=51:1A (24); paragraph=1(a); withOthersNomisCode=51:1A (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","100524","Commits any assault aggravated by a protected characteristic","name=ADULT_51_1A_24; nomisCode=51:1A (24); paragraph=1(a); withOthersNomisCode=51:1A (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","102124","Commits any assault aggravated by a protected characteristic","name=ADULT_51_1A_24; nomisCode=51:1A (24); paragraph=1(a); withOthersNomisCode=51:1A (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","100724","Commits any assault aggravated by a protected characteristic","name=ADULT_51_1A_24; nomisCode=51:1A (24); paragraph=1(a); withOthersNomisCode=51:1A (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","1002","Commits any assault","name=ADULT_51_1B; nomisCode=51:1B; paragraph=1; withOthersNomisCode=51:25D; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","1022","Commits any assault","name=ADULT_51_1B; nomisCode=51:1B; paragraph=1; withOthersNomisCode=51:25D; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","102224","Commits any sexual assault","name=ADULT_51_1B_24; nomisCode=51:1B (24); paragraph=1(b); withOthersNomisCode=51:1B (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","102324","Exposes himself, or commits any other indecent or obscene act","name=ADULT_51_1C_24; nomisCode=51:1C (24); paragraph=1(c); withOthersNomisCode=51:1C (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","102424","Sexually harasses any person","name=ADULT_51_1D_24; nomisCode=51:1D (24); paragraph=1(d); withOthersNomisCode=51:1D (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","1004","Commits any assault","name=ADULT_51_1J; nomisCode=51:1J; paragraph=1; withOthersNomisCode=51:25F; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","1006","Commits any assault","name=ADULT_51_1N; nomisCode=51:1N; paragraph=1; withOthersNomisCode=51:25G; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","1008","Commits any assault","name=ADULT_51_1F; nomisCode=51:1F; paragraph=1; withOthersNomisCode=51:25E; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","4001","Fights with any person","name=ADULT_51_4; nomisCode=51:4; paragraph=4; withOthersNomisCode=51:4; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","4002","Fights with any person","name=ADULT_51_4; nomisCode=51:4; paragraph=4; withOthersNomisCode=51:4; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","4003","Fights with any person","name=ADULT_51_4; nomisCode=51:4; paragraph=4; withOthersNomisCode=51:4; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","4004","Fights with any person","name=ADULT_51_4; nomisCode=51:4; paragraph=4; withOthersNomisCode=51:4; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","4005","Fights with any person","name=ADULT_51_4; nomisCode=51:4; paragraph=4; withOthersNomisCode=51:4; applicableVersions=1|2"
